capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
2.88,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),7/9/2004
3,Edgartown,Massachusetts,02539,Residential (3 or fewer dwelling units per building),7/15/2004
2.1,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),7/16/2004
3,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),8/23/2004
3,Bourne,Massachusetts,02534,Residential (3 or fewer dwelling units per building),7/6/2004
1.8,Falmouth,Massachusetts,02450,Residential (3 or fewer dwelling units per building),11/24/2004
2.7,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),9/23/2004
7.014,Somerset,Massachusetts,02758,Residential (3 or fewer dwelling units per building),11/27/2004
3,Truro,Massachusetts,02652,Residential (3 or fewer dwelling units per building),1/4/2005
4.008,Plymouth,Massachusetts,02360,Commercial / Office,1/5/2005
3,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),3/24/2005
48.64,Newburyport,Massachusetts,01950,Retail,10/15/2004
1.92,Newburyport,Massachusetts,01950,Retail,7/15/2004
1.2,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),7/16/2004
27.36,Leominster,Massachusetts,01453,Commercial / Office,6/16/2004
2.88,Attleboro,Massachusetts,02703,Residential (3 or fewer dwelling units per building),8/1/2004
2.56,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),11/15/2004
2.75,Tisbury,Massachusetts,02568,Residential (3 or fewer dwelling units per building),5/13/2005
2.58,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),10/11/2004
2.56,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),11/26/2004
2.56,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),11/10/2004
2.56,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),11/18/2004
3,Falmouth,Massachusetts,02556,Residential (3 or fewer dwelling units per building),11/15/2004
2.22,Buckland,Massachusetts,01370,Residential (3 or fewer dwelling units per building),11/24/2004
1.52,Greenfield,Massachusetts,01301,Residential (3 or fewer dwelling units per building),12/20/2004
4.44,Shelburne,Massachusetts,01370,Residential (3 or fewer dwelling units per building),2/9/2005
1.48,Montague,Massachusetts,01351,Residential (3 or fewer dwelling units per building),4/27/2005
2.22,Greenfield,Massachusetts,01301,Residential (3 or fewer dwelling units per building),11/28/2004
2.28,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),11/1/2004
1.52,Northampton,Massachusetts,01053,Residential (3 or fewer dwelling units per building),6/7/2005
3.04,Deerfield,Massachusetts,01373,Residential (3 or fewer dwelling units per building),5/27/2005
15.84,Charlemont,Massachusetts,01339,Municipal / Government / Public,5/3/2005
1.8,Truro,Massachusetts,02666,Residential (3 or fewer dwelling units per building),12/4/2004
2.64,Hardwick,Massachusetts,01037,Residential (3 or fewer dwelling units per building),11/18/2004
2.64,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),12/8/2004
2.88,Quincy,Massachusetts,02169,Residential (3 or fewer dwelling units per building),9/4/2004
2.88,Attleboro,Massachusetts,02703,Residential (3 or fewer dwelling units per building),10/12/2004
4.14,Belchertown,Massachusetts,01007,Residential (3 or fewer dwelling units per building),12/29/2004
1.8,Brewster,Massachusetts,02631,Residential (3 or fewer dwelling units per building),10/18/2004
47.7,Boston,Massachusetts,02127,Commercial / Office,10/22/2004
1.2,Hadley,Massachusetts,01035,Residential (3 or fewer dwelling units per building),7/15/2004
2.4,Pelham,Massachusetts,01002,Residential (3 or fewer dwelling units per building),10/16/2004
7.515,Westport,Massachusetts,02780,Residential (3 or fewer dwelling units per building),12/24/2004
2.64,Brockton,Massachusetts,02301,School (K-12),9/13/2004
1.25,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),6/29/2005
2.4,Bourne,Massachusetts,02532,School (K-12),6/30/2005
1.2,Harwich,Massachusetts,02645,School (K-12),12/10/2004
1.8,Harwich,Massachusetts,02645,School (K-12),6/30/2005
7.2,Williamstown,Massachusetts,01267,College / University,12/9/2004
2.64,Arlington,Massachusetts,02474,Residential (3 or fewer dwelling units per building),12/23/2004
2.76,Watertown,Massachusetts,02472,Residential (3 or fewer dwelling units per building),11/10/2004
9,North Adams,Massachusetts,01247,College / University,10/15/2005
6.93,Monterey,Massachusetts,01245,Mixed use (commercial & residential),6/20/2005
9,Pittsfield,Massachusetts,01201,School (K-12),11/29/2005
9,North Adams,Massachusetts,01247,School (K-12),11/15/2005
1.2,Springfield,Massachusetts,01129,Residential (3 or fewer dwelling units per building),6/13/2004
2.4,Lanesborough,Massachusetts,01237,Residential (3 or fewer dwelling units per building),12/19/2004
2.88,Quincy,Massachusetts,02169,Residential (3 or fewer dwelling units per building),1/4/2005
2.88,Gloucester,Massachusetts,01930,Residential (3 or fewer dwelling units per building),11/3/2004
9.44,Newburyport,Massachusetts,01950,Retail,7/15/2004
2.88,West Tisbury,Massachusetts,02575,School (K-12),10/21/2004
2.88,Tisbury,Massachusetts,02568,Retail,12/23/2004
0.88,Bernardston,Massachusetts,01337,Residential (3 or fewer dwelling units per building),10/1/2004
1.1,Leyden,Massachusetts,01337,Residential (3 or fewer dwelling units per building),10/1/2004
2.88,Quincy,Massachusetts,02169,Residential (3 or fewer dwelling units per building),9/4/2004
1.8,Worthington,Massachusetts,01098,Residential (3 or fewer dwelling units per building),4/16/2005
1.84,Barnstable,Massachusetts,02632,Residential (3 or fewer dwelling units per building),8/19/2005
1.2,North Adams,Massachusetts,01247,Residential (3 or fewer dwelling units per building),4/6/2005
1.1,Greenfield,Massachusetts,01376,Residential (3 or fewer dwelling units per building),2/7/2005
40.8,Boston,Massachusetts,02119,Multi-family residential (4 or more dwelling units per building),9/30/2005
24,Boston,Massachusetts,02119,Multi-family residential (4 or more dwelling units per building),9/30/2005
5.52,Natick,Massachusetts,01760,Other,4/20/2005
51.48,Newburyport,Massachusetts,01950,Industrial,2/11/2005
3,Falmouth,Massachusetts,02556,Residential (3 or fewer dwelling units per building),6/6/2005
1.2,Lee,Massachusetts,01238,Residential (3 or fewer dwelling units per building),4/5/2005
15.408,Bedford,Massachusetts,01730,Commercial / Office,4/20/2005
2.4,Leverett,Massachusetts,01054,Residential (3 or fewer dwelling units per building),5/17/2005
36.96,Boston,Massachusetts,02128,Multi-family residential (4 or more dwelling units per building),4/14/2005
2.48,Barnstable,Massachusetts,02648,Residential (3 or fewer dwelling units per building),1/15/2006
1.575,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),1/1/2006
2.72,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),8/2/2005
2.72,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),7/22/2005
1.05,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),11/26/2005
2.48,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),1/1/2006
1.92,Northfield,Massachusetts,01360,Residential (3 or fewer dwelling units per building),12/10/2005
2.56,Aquinnah,Massachusetts,02535,Residential (3 or fewer dwelling units per building),9/28/2005
1.98,Northampton,Massachusetts,01062,Residential (3 or fewer dwelling units per building),6/30/2005
2.4,Ashfield,Massachusetts,01330,Residential (3 or fewer dwelling units per building),7/15/2005
2.76,Northampton,Massachusetts,01060,Residential (3 or fewer dwelling units per building),8/25/2005
2.64,Colrain,Massachusetts,01340,Residential (3 or fewer dwelling units per building),1/31/2006
2.64,Shelburne,Massachusetts,01370,Residential (3 or fewer dwelling units per building),10/1/2005
2.52,Chilmark,Massachusetts,02535,Residential (3 or fewer dwelling units per building),9/7/2005
2.48,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),1/10/2006
56.32,Great Barrington,Massachusetts,01230,School (K-12),12/1/2005
0.92,Orange,Massachusetts,01364,Residential (3 or fewer dwelling units per building),6/1/2005
10.12,North Adams,Massachusetts,01247,Municipal / Government / Public,6/1/2005
1.5,Sandwich,Massachusetts,02644,Residential (3 or fewer dwelling units per building),6/29/2005
2.38,Oak Bluffs,Massachusetts,02557,Residential (3 or fewer dwelling units per building),8/11/2005
1.89,Barnstable,Massachusetts,02635,Residential (3 or fewer dwelling units per building),1/3/2006
1.9,Northampton,Massachusetts,01062,Residential (3 or fewer dwelling units per building),9/8/2005
1.2,Falmouth,Massachusetts,02536,Residential (3 or fewer dwelling units per building),9/1/2005
3.8,Shutesbury,Massachusetts,01072,Residential (3 or fewer dwelling units per building),8/12/2005
30.16,Salem,Massachusetts,01970,School (K-12),6/2/2005
33.6,Ashland,Massachusetts,01721,School (K-12),11/22/2005
3.52,Upton,Massachusetts,01568,Residential (3 or fewer dwelling units per building),10/18/2005
7.5,Amherst,Massachusetts,01003,College / University,12/9/2005
1.32,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),12/1/2005
1.32,Tyngsborough,Massachusetts,01879,Residential (3 or fewer dwelling units per building),12/1/2005
1.32,Salem,Massachusetts,01970,School (K-12),7/12/2005
2.88,West Tisbury,Massachusetts,02575,Residential (3 or fewer dwelling units per building),9/12/2005
3.5,Westwood,Massachusetts,02090,Residential (3 or fewer dwelling units per building),4/1/2006
3.96,Swansea,Massachusetts,02777,Residential (3 or fewer dwelling units per building),8/31/2005
2.244,Pittsfield,Massachusetts,01201,Residential (3 or fewer dwelling units per building),8/10/2005
3.3,Medfield,Massachusetts,02052,Residential (3 or fewer dwelling units per building),9/16/2005
