capacity_DC,SiteCity,SiteState,SiteZip_5_digit,FacilityType,dateinservice
5.76,Franklin,Massachusetts,02038,Residential (3 or fewer dwelling units per building),7/2/2012
4.995,Rochester,Massachusetts,02770,Commercial / Office,6/11/2012
4.32,Rehoboth,Massachusetts,02769,Commercial / Office,7/30/2012
5.76,Medway,Massachusetts,02053,Residential (3 or fewer dwelling units per building),8/7/2012
5.76,Blackstone,Massachusetts,01504,Commercial / Office,7/20/2012
8.4,Medfield,Massachusetts,02052,Residential (3 or fewer dwelling units per building),5/22/2012
5.76,Carver,Massachusetts,02330,Commercial / Office,9/5/2012
8.64,Milford,Massachusetts,01757,See Power Clerk,NULL
1.84,Boston,Massachusetts,02117,Residential (3 or fewer dwelling units per building),1/8/2013
6.96,West Newbury,Massachusetts,01985,Commercial / Office,6/12/2012
7.92,Rutland,Massachusetts,01543,Commercial / Office,5/24/2012
9.87,Montague,Massachusetts,01376,Commercial / Office,9/18/2012
14.88,West Tisbury,Massachusetts,02568,Commercial / Office,9/27/2012
5.28,East Bridgewater,Massachusetts,02333,See Power Clerk,NULL
4.83,Belchertown,Massachusetts,01007,See Power Clerk,NULL
11.04,Falmouth,Massachusetts,02540,Commercial / Office,7/9/2012
4.56,Weymouth,Massachusetts,02189,Commercial / Office,7/30/2012
5.18,Leominster,Massachusetts,00145,Commercial / Office,5/30/2012
8.67,Dartmouth,Massachusetts,02748,Commercial / Office,7/25/2012
6.72,Harvard,Massachusetts,01451,See Power Clerk,NULL
5.25,Chatham,Massachusetts,02633,Commercial / Office,4/27/2012
7.68,Shutesbury,Massachusetts,01072,Commercial / Office,5/15/2012
2.55,Eastham,Massachusetts,02642,Commercial / Office,7/12/2012
5.1,Boston,Massachusetts,02135,Commercial / Office,9/25/2012
5.355,Eastham,Massachusetts,02642,Commercial / Office,9/11/2012
8.415,Rehoboth,Massachusetts,02769,Commercial / Office,6/5/2012
10.56,North Andover,Massachusetts,01845,See Power Clerk,2/5/2013
13.44,Middlefield,Massachusetts,01243,Residential (3 or fewer dwelling units per building),9/13/2012
5.16,Falmouth,Massachusetts,02540,See Power Clerk,8/30/2012
4.95,Truro,Massachusetts,02666,See Power Clerk,7/2/2012
3.29,Watertown,Massachusetts,02472,Commercial / Office,6/7/2012
5.76,Clinton,Massachusetts,01510,Commercial / Office,7/20/2012
6.24,West Newbury,Massachusetts,01985,Commercial / Office,7/30/2012
3.29,Malden,Massachusetts,02148,Commercial / Office,10/26/2012
6.63,Framingham,Massachusetts,01701,See Power Clerk,6/18/2012
6.46,Norton,Massachusetts,02766,Commercial / Office,7/26/2012
5.76,Sharon,Massachusetts,02067,Commercial / Office,8/7/2012
5.76,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),10/1/2012
7.755,Millville,Massachusetts,01529,Commercial / Office,8/17/2012
9.36,Westport,Massachusetts,02790,Commercial / Office,7/27/2012
8.64,Royalston,Massachusetts,01368,Commercial / Office,8/23/2012
8.1,Framingham,Massachusetts,01701,Residential (3 or fewer dwelling units per building),7/19/2012
9.555,Bellingham,Massachusetts,02019,Commercial / Office,5/30/2012
6.24,Dracut,Massachusetts,01826,Commercial / Office,6/26/2012
7.5,Ashland,Massachusetts,01721,Residential (3 or fewer dwelling units per building),5/17/2012
7.05,Townsend,Massachusetts,01474,Commercial / Office,3/4/2013
4.8,Clarksburg,Massachusetts,01247,Residential (3 or fewer dwelling units per building),7/2/2012
9.18,Attleboro,Massachusetts,02703,Commercial / Office,9/24/2012
9.18,Attleboro,Massachusetts,02703,Commercial / Office,8/15/2012
5.76,Walpole,Massachusetts,02081,See Power Clerk,NULL
9.6,Halifax,Massachusetts,02338,Residential (3 or fewer dwelling units per building),1/30/2013
6,Medford,Massachusetts,02155,Residential (3 or fewer dwelling units per building),11/26/2012
4.23,East Longmeadow,Massachusetts,01028,Commercial / Office,5/24/2012
9.18,Attleboro,Massachusetts,02703,Commercial / Office,3/15/2013
9.18,Attleboro,Massachusetts,02703,Commercial / Office,3/15/2013
5.76,Sudbury,Massachusetts,01776,Residential (3 or fewer dwelling units per building),6/19/2012
6.72,Leicester,Massachusetts,01524,Residential (3 or fewer dwelling units per building),7/5/2012
9.12,Holyoke,Massachusetts,01040,Residential (3 or fewer dwelling units per building),8/24/2012
5.61,Westport,Massachusetts,02790,Commercial / Office,10/1/2012
3.57,New Bedford,Massachusetts,02740,Commercial / Office,8/2/2012
5.76,Ashfield,Massachusetts,01330,Residential (3 or fewer dwelling units per building),5/8/2012
7.848,Brookline,Massachusetts,02445,Residential (3 or fewer dwelling units per building),5/24/2012
9.36,Northborough,Massachusetts,01532,Commercial / Office,6/12/2012
4.32,Douglas,Massachusetts,01516,Commercial / Office,7/30/2012
4.8,Tewksbury,Massachusetts,01876,Commercial / Office,8/29/2012
4.64,Orange,Massachusetts,01364,Residential (3 or fewer dwelling units per building),7/30/2012
5.64,Upton,Massachusetts,01568,Residential (3 or fewer dwelling units per building),2/7/2012
4.928,Harwich,Massachusetts,02645,Commercial / Office,7/16/2012
5.1,Attleboro,Massachusetts,02703,Commercial / Office,9/24/2012
4.9,Dracut,Massachusetts,01826,Commercial / Office,9/28/2012
2.59,Dracut,Massachusetts,01826,Commercial / Office,7/20/2012
6.84,Franklin,Massachusetts,02038,Commercial / Office,7/16/2012
3.84,Wenham,Massachusetts,01984,Residential (3 or fewer dwelling units per building),5/31/2012
5.76,Brimfield,Massachusetts,01010,Residential (3 or fewer dwelling units per building),7/26/2012
5.5,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),7/27/2012
4.59,Attleboro,Massachusetts,02703,Commercial / Office,10/12/2012
7.68,Winchester,Massachusetts,01890,Commercial / Office,5/1/2012
4.8,Cambridge,Massachusetts,00214,Residential (3 or fewer dwelling units per building),6/8/2012
3.315,Marshfield,Massachusetts,02050,Commercial / Office,4/2/2013
3.57,Brookline,Massachusetts,02446,Commercial / Office,10/4/2012
3.995,Arlington,Massachusetts,02474,Commercial / Office,6/11/2012
3.43,Bourne,Massachusetts,02562,Commercial / Office,9/24/2012
2.94,Needham,Massachusetts,02492,Residential (3 or fewer dwelling units per building),7/17/2012
3.42,Newton,Massachusetts,02465,Commercial / Office,6/27/2012
3.76,Medford,Massachusetts,02155,Commercial / Office,6/21/2012
5.76,Saugus,Massachusetts,01906,Residential (3 or fewer dwelling units per building),10/22/2012
9.156,Wrentham,Massachusetts,02093,Residential (3 or fewer dwelling units per building),8/1/2012
4.32,Worcester,Massachusetts,01605,See Power Clerk,NULL
8.93,Rehoboth,Massachusetts,02769,Commercial / Office,9/28/2012
7.52,Topsfield,Massachusetts,01983,Commercial / Office,6/5/2012
4.845,Pepperell,Massachusetts,01463,Residential (3 or fewer dwelling units per building),6/12/2012
7.2,Fitchburg,Massachusetts,01420,See Power Clerk,NULL
5.17,Lexington,Massachusetts,02421,Commercial / Office,6/5/2012
6.58,Westport,Massachusetts,02790,Commercial / Office,6/25/2012
6.24,Phillipston,Massachusetts,01331,Residential (3 or fewer dwelling units per building),6/25/2012
7.44,Swampscott,Massachusetts,01907,Residential (3 or fewer dwelling units per building),6/25/2012
3.84,New Bedford,Massachusetts,02745,Commercial / Office,6/21/2012
2.88,Westborough,Massachusetts,01581,Commercial / Office,7/20/2012
5.1,Lakeville,Massachusetts,02347,Residential (3 or fewer dwelling units per building),6/4/2012
4.18,Sudbury,Massachusetts,01776,Residential (3 or fewer dwelling units per building),5/7/2012
5.16,Brewster,Massachusetts,02631,Residential (3 or fewer dwelling units per building),7/19/2012
7.04,Pittsfield,Massachusetts,01201,Commercial / Office,6/6/2012
9.245,Scituate,Massachusetts,02066,Commercial / Office,7/30/2012
10,Goshen,Massachusetts,01032,See Power Clerk,NULL
9.36,East Bridgewater,Massachusetts,02333,Commercial / Office,6/12/2012
7.68,Boston,Massachusetts,02132,Commercial / Office,7/27/2012
8.64,Milton,Massachusetts,02186,See Power Clerk,NULL
7.92,Ludlow,Massachusetts,01056,Commercial / Office,8/30/2012
6.615,Waltham,Massachusetts,02453,Residential (3 or fewer dwelling units per building),7/27/2012
4.935,Lunenburg,Massachusetts,01462,Commercial / Office,7/30/2012
4.8,Marlborough,Massachusetts,01752,Commercial / Office,9/27/2012
6.86,Boston,Massachusetts,02124,Commercial / Office,7/23/2012
7.2,Townsend,Massachusetts,01474,Commercial / Office,8/14/2012
14.72,Holden,Massachusetts,01520,Commercial / Office,7/9/2012
30,Hopkinton,Massachusetts,01748,Industrial,2/15/2012
230.912,Northbridge,Massachusetts,01588,Industrial,3/12/2012
6,Wendell,Massachusetts,01379,Residential (3 or fewer dwelling units per building),9/21/2010
111.65,Sudbury,Massachusetts,01776,Industrial,2/21/2012
77.74,Fall River,Massachusetts,02721,Commercial / Office,2/28/2012
1250.48,Boston,Massachusetts,02122,Other,12/17/2011
1.755,Concord,Massachusetts,01742,Residential (3 or fewer dwelling units per building),10/5/2009
5.06,Sandwich,Massachusetts,02563,Residential (3 or fewer dwelling units per building),3/7/2012
11.78,Edgartown,Massachusetts,02539,Commercial / Office,2/10/2012
3.22,Marblehead,Massachusetts,01945,Residential (3 or fewer dwelling units per building),1/23/2012
21.36,Medway,Massachusetts,02053,Commercial / Office,3/8/2012
16.56,Weymouth,Massachusetts,02189,Commercial / Office,2/10/2012
255.64,Leominster,Massachusetts,01453,Commercial / Office,3/1/2012
7.392,Groveland,Massachusetts,01834,Residential (3 or fewer dwelling units per building),3/21/2012
13.23,Hingham,Massachusetts,02043,Residential (3 or fewer dwelling units per building),3/23/2011
5.1,West Newbury,Massachusetts,01985,Residential (3 or fewer dwelling units per building),4/6/2012
24.48,Seekonk,Massachusetts,02771,Commercial / Office,12/12/2011
5.76,Framingham,Massachusetts,01701,Residential (3 or fewer dwelling units per building),12/21/2012
10.8,Acushnet,Massachusetts,02743,Residential (3 or fewer dwelling units per building),6/1/2012
4.6,Wellfleet,Massachusetts,02667,Residential (3 or fewer dwelling units per building),7/18/2012
14.88,Dover,Massachusetts,02030,Residential (3 or fewer dwelling units per building),5/7/2013
5.76,Pittsfield,Massachusetts,01201,Commercial / Office,8/3/2012
7.35,Salisbury,Massachusetts,01952,Residential (3 or fewer dwelling units per building),9/14/2012
3.5,Rutland,Massachusetts,01543,See Power Clerk,9/24/2012
2.94,Dartmouth,Massachusetts,02748,Commercial / Office,10/25/2012
8.695,Billerica,Massachusetts,01821,See Power Clerk,NULL
5.28,Petersham,Massachusetts,01366,Commercial / Office,7/16/2012
9.84,Billerica,Massachusetts,01862,Commercial / Office,5/25/2012
7.35,Barnstable,Massachusetts,02630,Commercial / Office,7/13/2012
4.41,Westborough,Massachusetts,01581,Commercial / Office,6/28/2012
2.88,Cambridge,Massachusetts,02138,See Power Clerk,NULL
6.96,Carlisle,Massachusetts,01741,Commercial / Office,6/5/2012
6.16,Beverly,Massachusetts,01915,Commercial / Office,7/17/2012
4.9,Boston,Massachusetts,02121,Commercial / Office,7/16/2012
10.105,Edgartown,Massachusetts,02539,See Power Clerk,NULL
12.48,Westford,Massachusetts,01886,See Power Clerk,NULL
7.65,Acushnet,Massachusetts,02743,Residential (3 or fewer dwelling units per building),12/28/2012
7.92,Sturbridge,Massachusetts,01566,Commercial / Office,7/30/2012
8,Hardwick,Massachusetts,01037,See Power Clerk,NULL
8.64,Granville,Massachusetts,01034,Residential (3 or fewer dwelling units per building),7/27/2012
6.72,Boston,Massachusetts,02128,Commercial / Office,8/1/2012
4.41,Somerville,Massachusetts,02145,See Power Clerk,NULL
4.9,Boston,Massachusetts,02130,Commercial / Office,7/19/2012
4.6,Orleans,Massachusetts,02653,Commercial / Office,7/16/2012
6.75,Rehoboth,Massachusetts,02769,Commercial / Office,5/24/2012
6.63,Dartmouth,Massachusetts,02714,Commercial / Office,7/19/2012
3.24,Eastham,Massachusetts,00264,Residential (3 or fewer dwelling units per building),6/5/2012
6.4,Arlington,Massachusetts,02474,Commercial / Office,6/4/2012
9.6,Wenham,Massachusetts,01984,Commercial / Office,9/14/2012
3.6,Boston,Massachusetts,02124,Commercial / Office,9/5/2012
5.46,Williamstown,Massachusetts,01267,Commercial / Office,7/20/2012
4.59,Cambridge,Massachusetts,02138,Commercial / Office,8/9/2012
8.16,Barnstable,Massachusetts,02630,Commercial / Office,9/25/2012
4.95,Mashpee,Massachusetts,02649,Residential (3 or fewer dwelling units per building),5/11/2012
8.25,Dartmouth,Massachusetts,02748,Residential (3 or fewer dwelling units per building),7/18/2012
12.985,Belchertown,Massachusetts,01007,Commercial / Office,1/14/2013
8.64,Ashburnham,Massachusetts,01430,Commercial / Office,5/31/2012
4.8,Cambridge,Massachusetts,02139,Commercial / Office,6/21/2012
10.35,Dennis,Massachusetts,02638,Commercial / Office,10/16/2012
5.1,Fairhaven,Massachusetts,02719,Commercial / Office,9/5/2012
3.29,Boston,Massachusetts,02126,Commercial / Office,4/30/2012
3.44,Wareham,Massachusetts,02571,See Power Clerk,NULL
2.7,Barnstable,Massachusetts,02630,Residential (3 or fewer dwelling units per building),5/11/2012
4.23,Blackstone,Massachusetts,01504,Commercial / Office,5/1/2012
5.17,Kingston,Massachusetts,02364,See Power Clerk,NULL
6.72,Maynard,Massachusetts,01754,Commercial / Office,1/23/2013
4.32,Bourne,Massachusetts,02532,Commercial / Office,9/6/2012
9.84,Bridgewater,Massachusetts,02324,Commercial / Office,7/10/2012
4.8,Newton,Massachusetts,02458,Commercial / Office,8/1/2012
3.92,Boston,Massachusetts,02131,Commercial / Office,7/24/2012
5.72,Tewksbury,Massachusetts,01876,Commercial / Office,8/13/2012
4.9,Arlington,Massachusetts,02474,Commercial / Office,7/16/2012
3.57,Fall River,Massachusetts,02721,Commercial / Office,7/2/2012
2.94,Boston,Massachusetts,02116,Commercial / Office,10/10/2012
6.72,Norfolk,Massachusetts,02056,Commercial / Office,9/14/2012
7.92,Gardner,Massachusetts,01440,Commercial / Office,8/3/2012
7.35,Sutton,Massachusetts,01590,Commercial / Office,6/25/2012
8.93,Lexington,Massachusetts,02421,Commercial / Office,10/17/2012
4.41,Framingham,Massachusetts,01701,Commercial / Office,8/24/2012
4.84,Burlington,Massachusetts,01803,Commercial / Office,6/20/2012
4.7,Arlington,Massachusetts,02474,Commercial / Office,11/6/2012
3.12,Milton,Massachusetts,02186,See Power Clerk,NULL
5,Westhampton,Massachusetts,01027,Residential (3 or fewer dwelling units per building),6/8/2012
4.8,Royalston,Massachusetts,01368,Commercial / Office,7/20/2012
5.52,Ashby,Massachusetts,01431,See Power Clerk,NULL
7,Lunenburg,Massachusetts,01462,Residential (3 or fewer dwelling units per building),5/21/2012
7.2,Harwich,Massachusetts,02645,Commercial / Office,6/12/2012
5.1,Natick,Massachusetts,01760,Commercial / Office,8/14/2012
4.8,Eastham,Massachusetts,02642,Commercial / Office,7/16/2012
6,Worcester,Massachusetts,01610,Commercial / Office,11/9/2012
2.585,Truro,Massachusetts,02666,Commercial / Office,7/17/2012
8.93,Duxbury,Massachusetts,02332,Residential (3 or fewer dwelling units per building),8/21/2012
9.72,Chesterfield,Massachusetts,01012,Residential (3 or fewer dwelling units per building),8/31/2012
4.8,Lynn,Massachusetts,01905,See Power Clerk,NULL
3.96,Cambridge,Massachusetts,02139,Commercial / Office,7/13/2012
3.44,Bridgewater,Massachusetts,02324,Commercial / Office,7/2/2012
9.156,Seekonk,Massachusetts,02771,Commercial / Office,6/19/2012
3.27,Southborough,Massachusetts,01772,Residential (3 or fewer dwelling units per building),9/7/2012
7.68,Provincetown,Massachusetts,02657,Residential (3 or fewer dwelling units per building),1/4/2013
4.8,Lanesborough,Massachusetts,01237,Commercial / Office,10/3/2012
10,Ludlow,Massachusetts,01056,See Power Clerk,10/10/2012
8.16,Newton,Massachusetts,02459,Commercial / Office,7/23/2012
3.185,Boston,Massachusetts,02124,Commercial / Office,6/11/2012
3.43,Boston,Massachusetts,02136,Commercial / Office,7/23/2012
7.35,Northfield,Massachusetts,01360,Residential (3 or fewer dwelling units per building),6/22/2012
6.375,Arlington,Massachusetts,02476,Commercial / Office,7/25/2012
9.36,Wrentham,Massachusetts,02093,Commercial / Office,7/20/2012
5.76,New Bedford,Massachusetts,02740,See Power Clerk,NULL
3.185,Somerville,Massachusetts,02145,Commercial / Office,10/10/2012
3.055,Melrose,Massachusetts,02176,Commercial / Office,5/24/2012
7.35,Millis,Massachusetts,02054,Commercial / Office,8/8/2012
6.54,Waltham,Massachusetts,02453,Commercial / Office,6/20/2012
10.32,North Andover,Massachusetts,01845,Commercial / Office,6/25/2012
3.92,Boston,Massachusetts,02126,Commercial / Office,8/9/2012
6.72,Westminster,Massachusetts,01473,Residential (3 or fewer dwelling units per building),6/4/2012
4.9,Brookline,Massachusetts,02467,Commercial / Office,6/12/2012
4.8,Arlington,Massachusetts,02474,Commercial / Office,12/4/2012
6.72,Newbury,Massachusetts,01951,Commercial / Office,7/30/2012
2.88,Easthampton,Massachusetts,01027,Residential (3 or fewer dwelling units per building),7/10/2012
10.78,Townsend,Massachusetts,01474,Commercial / Office,7/18/2012
8.64,Halifax,Massachusetts,02338,Residential (3 or fewer dwelling units per building),7/30/2012
6.12,Conway,Massachusetts,01341,See Power Clerk,NULL
6.86,Boston,Massachusetts,02122,Commercial / Office,7/17/2012
3.33,Dracut,Massachusetts,01826,Commercial / Office,7/17/2012
3.185,Boston,Massachusetts,02124,Commercial / Office,8/10/2012
5.04,Mashpee,Massachusetts,02649,Commercial / Office,7/25/2012
6,Southbridge,Massachusetts,01550,Commercial / Office,6/7/2012
8.624,Falmouth,Massachusetts,02540,Commercial / Office,7/27/2012
5.04,Goshen,Massachusetts,01032,Residential (3 or fewer dwelling units per building),6/7/2012
5.04,Melrose,Massachusetts,02176,Residential (3 or fewer dwelling units per building),6/13/2012
4.7,Cambridge,Massachusetts,02139,Commercial / Office,6/18/2012
3.185,Boston,Massachusetts,02136,Commercial / Office,7/13/2012
9.6,Acushnet,Massachusetts,02743,Residential (3 or fewer dwelling units per building),6/1/2012
14.88,Dover,Massachusetts,02030,Residential (3 or fewer dwelling units per building),9/17/2012
7.5,Dartmouth,Massachusetts,02748,Residential (3 or fewer dwelling units per building),8/10/2012
5.76,Quincy,Massachusetts,02169,See Power Clerk,NULL
5.76,Whitman,Massachusetts,02382,Residential (3 or fewer dwelling units per building),2/20/2013
4.56,Waltham,Massachusetts,02453,Residential (3 or fewer dwelling units per building),11/19/2012
6.24,Quincy,Massachusetts,02169,Residential (3 or fewer dwelling units per building),7/2/2012
165,Milford,Massachusetts,01757,Industrial,4/5/2012
18.72,Winchester,Massachusetts,01890,Commercial / Office,3/8/2012
24.96,Conway,Massachusetts,01341,Commercial / Office,2/27/2012
3.04,Bellingham,Massachusetts,02019,Residential (3 or fewer dwelling units per building),3/23/2012
2.115,Charlton,Massachusetts,01507,Commercial / Office,12/27/2011
3.055,Belmont,Massachusetts,02478,Commercial / Office,2/6/2012
373.75,West Brookfield,Massachusetts,01585,Industrial,3/28/2012
985.6,Barre,Massachusetts,01005,Other,3/1/2012
985.6,Barre,Massachusetts,01005,Other,3/1/2012
383.18,Swampscott,Massachusetts,01907,School (K-12),2/7/2012
67.62,Swampscott,Massachusetts,01907,School (K-12),1/6/2012
5.405,Boston,Massachusetts,02124,Residential (3 or fewer dwelling units per building),2/16/2012
1.05,Holliston,Massachusetts,01746,Commercial / Office,3/22/2012
9,South Hadley,Massachusetts,01075,Residential (3 or fewer dwelling units per building),4/10/2012
2.805,Attleboro,Massachusetts,02703,Commercial / Office,10/26/2012
6.12,Framingham,Massachusetts,01701,Commercial / Office,8/7/2012
6.885,Swansea,Massachusetts,02777,Commercial / Office,8/8/2012
5.76,Tisbury,Massachusetts,02568,Commercial / Office,7/18/2012
10.78,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),6/21/2012
4.8,Randolph,Massachusetts,02368,Residential (3 or fewer dwelling units per building),1/8/2013
5.28,Lynn,Massachusetts,01902,Commercial / Office,9/24/2012
5.4,Falmouth,Massachusetts,02543,Residential (3 or fewer dwelling units per building),6/13/2012
4.935,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),9/20/2012
9.36,Edgartown,Massachusetts,02539,See Power Clerk,NULL
5.04,Newbury,Massachusetts,01951,Residential (3 or fewer dwelling units per building),6/12/2012
2.5,Boston,Massachusetts,02116,Residential (3 or fewer dwelling units per building),8/8/2012
7.35,Marion,Massachusetts,02738,See Power Clerk,NULL
7.755,Topsfield,Massachusetts,01983,See Power Clerk,NULL
6.125,Pelham,Massachusetts,01002,Residential (3 or fewer dwelling units per building),7/24/2012
2.16,Bedford,Massachusetts,01730,Commercial / Office,8/22/2012
5.61,Cheshire,Massachusetts,01225,Commercial / Office,7/9/2012
5.145,Amesbury,Massachusetts,01913,Commercial / Office,6/21/2012
4.8,Norfolk,Massachusetts,02056,Commercial / Office,7/30/2012
6,Harvard,Massachusetts,01451,See Power Clerk,NULL
5,Bolton,Massachusetts,01740,See Power Clerk,NULL
5.355,New Bedford,Massachusetts,02740,Commercial / Office,7/2/2012
14.95,Westborough,Massachusetts,01581,Commercial / Office,10/10/2012
7.2,Falmouth,Massachusetts,02540,Commercial / Office,5/31/2012
7.44,Barnstable,Massachusetts,02630,Commercial / Office,10/2/2012
9.43,Hubbardston,Massachusetts,01452,Commercial / Office,7/20/2012
7.92,Sunderland,Massachusetts,01375,Commercial / Office,7/26/2012
9.81,Marlborough,Massachusetts,01752,Commercial / Office,8/3/2012
6,Bolton,Massachusetts,01740,See Power Clerk,NULL
9.156,Hampden,Massachusetts,01036,Commercial / Office,7/18/2012
5.76,Winchendon,Massachusetts,01475,Residential (3 or fewer dwelling units per building),4/10/2013
3.76,Chelmsford,Massachusetts,01824,Commercial / Office,6/5/2012
4.32,Barnstable,Massachusetts,02630,See Power Clerk,9/24/2012
9.435,Yarmouth,Massachusetts,02675,Residential (3 or fewer dwelling units per building),2/21/2013
3.525,Southampton,Massachusetts,01073,Residential (3 or fewer dwelling units per building),8/21/2012
5.76,Abington,Massachusetts,02351,See Power Clerk,NULL
6.54,Oak Bluffs,Massachusetts,02557,Commercial / Office,12/7/2012
3.055,Revere,Massachusetts,00215,Residential (3 or fewer dwelling units per building),6/13/2012
9.6,Leominster,Massachusetts,01453,Residential (3 or fewer dwelling units per building),10/5/2012
7.36,Rehoboth,Massachusetts,02769,Commercial / Office,7/2/2012
4.7,Melrose,Massachusetts,02176,Commercial / Office,6/15/2012
3.36,Truro,Massachusetts,02666,Residential (3 or fewer dwelling units per building),6/22/2012
6.58,Dartmouth,Massachusetts,02748,Commercial / Office,9/19/2012
5.76,New Bedford,Massachusetts,02740,See Power Clerk,NULL
5.865,Waltham,Massachusetts,02451,Commercial / Office,9/17/2012
8.4,Wilbraham,Massachusetts,01095,Commercial / Office,6/25/2012
6.815,Sturbridge,Massachusetts,01518,Residential (3 or fewer dwelling units per building),9/4/2012
3.29,Quincy,Massachusetts,02169,Commercial / Office,5/24/2012
7.2,Blackstone,Massachusetts,01504,Commercial / Office,7/30/2012
4.9,Arlington,Massachusetts,02476,See Power Clerk,NULL
6.96,Fall River,Massachusetts,02723,Commercial / Office,8/29/2012
4,Southampton,Massachusetts,01073,Residential (3 or fewer dwelling units per building),7/31/2012
3.57,Boston,Massachusetts,02126,Commercial / Office,9/7/2012
6,Ashby,Massachusetts,01431,Residential (3 or fewer dwelling units per building),9/6/2012
5.232,Watertown,Massachusetts,02472,Commercial / Office,9/7/2012
7.35,Boston,Massachusetts,02124,Commercial / Office,8/27/2012
3.185,Boston,Massachusetts,02131,Commercial / Office,6/18/2012
4.9,Bedford,Massachusetts,01730,Commercial / Office,8/31/2012
5.04,Sandwich,Massachusetts,02563,Commercial / Office,7/16/2012
4.9,Weymouth,Massachusetts,02190,Commercial / Office,8/3/2012
4.9,Boston,Massachusetts,02126,Commercial / Office,7/16/2012
7.05,Lexington,Massachusetts,02421,Commercial / Office,7/18/2012
5.04,Newbury,Massachusetts,01951,Commercial / Office,8/8/2012
2.64,Boston,Massachusetts,02125,Commercial / Office,8/16/2012
7.14,Melrose,Massachusetts,02176,Commercial / Office,8/23/2012
9.6,Auburn,Massachusetts,01501,Residential (3 or fewer dwelling units per building),7/18/2012
3.92,Boston,Massachusetts,02131,See Power Clerk,NULL
4.9,Boston,Massachusetts,02136,Commercial / Office,7/25/2012
5.61,Attleboro,Massachusetts,02703,Commercial / Office,7/20/2012
4.32,Richmond,Massachusetts,01254,Commercial / Office,10/26/2012
4.41,Framingham,Massachusetts,01702,Commercial / Office,7/13/2012
5.1,Dartmouth,Massachusetts,02747,Commercial / Office,10/11/2012
5.04,Marlborough,Massachusetts,01752,Commercial / Office,10/9/2012
7.68,Stow,Massachusetts,01775,Residential (3 or fewer dwelling units per building),6/22/2012
4.5,Cambridge,Massachusetts,02139,Residential (3 or fewer dwelling units per building),8/28/2012
4.41,Melrose,Massachusetts,02176,Commercial / Office,8/20/2012
5.355,Plymouth,Massachusetts,02360,Commercial / Office,9/10/2012
3.675,Boston,Massachusetts,02126,Commercial / Office,7/13/2012
5.52,Easton,Massachusetts,02375,Commercial / Office,7/30/2012
8.33,Rochester,Massachusetts,02770,Commercial / Office,8/22/2012
9.36,Shirley,Massachusetts,01464,Commercial / Office,9/5/2012
5.76,Orange,Massachusetts,01364,Commercial / Office,8/9/2012
10.29,Easthampton,Massachusetts,01027,Residential (3 or fewer dwelling units per building),9/5/2012
4.7,Halifax,Massachusetts,02338,Residential (3 or fewer dwelling units per building),10/17/2012
5.145,Wareham,Massachusetts,02571,Residential (3 or fewer dwelling units per building),7/3/2012
7.2,Granby,Massachusetts,01033,Residential (3 or fewer dwelling units per building),7/31/2012
7.848,Rutland,Massachusetts,01543,Commercial / Office,7/20/2012
5.76,Abington,Massachusetts,02351,See Power Clerk,NULL
5.265,Egremont,Massachusetts,01230,Commercial / Office,7/20/2012
6.24,Salem,Massachusetts,01970,Commercial / Office,7/30/2012
3.76,Medford,Massachusetts,02155,Commercial / Office,8/8/2012
2.585,Lynn,Massachusetts,01903,Commercial / Office,8/23/2012
5.28,Lunenburg,Massachusetts,01462,Commercial / Office,8/14/2012
9.87,Wilbraham,Massachusetts,01095,Commercial / Office,8/3/2012
7.5,Hatfield,Massachusetts,01038,Residential (3 or fewer dwelling units per building),7/13/2012
4.16,Quincy,Massachusetts,02170,Residential (3 or fewer dwelling units per building),6/5/2012
5.88,Holliston,Massachusetts,01746,Commercial / Office,6/12/2012
8.085,Ashby,Massachusetts,01431,Commercial / Office,8/23/2012
9.75,Harwich,Massachusetts,02645,Commercial / Office,7/19/2012
4.8,Billerica,Massachusetts,01821,Residential (3 or fewer dwelling units per building),7/19/2012
3.5,Mattapoisett,Massachusetts,02739,Residential (3 or fewer dwelling units per building),7/31/2012
7.848,Melrose,Massachusetts,02176,Residential (3 or fewer dwelling units per building),7/11/2012
4.32,Watertown,Massachusetts,02472,See Power Clerk,NULL
5.76,Abington,Massachusetts,02351,See Power Clerk,NULL
6.345,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),12/12/2012
3.185,Boston,Massachusetts,02124,Commercial / Office,1/3/2013
3.01,Amherst,Massachusetts,01002,Residential (3 or fewer dwelling units per building),7/23/2012
13.005,Freetown,Massachusetts,02702,Residential (3 or fewer dwelling units per building),7/23/2012
8,Northampton,Massachusetts,01062,Commercial / Office,7/30/2012
4.8,Cambridge,Massachusetts,02140,Residential (3 or fewer dwelling units per building),9/13/2012
7.92,Sudbury,Massachusetts,01776,Residential (3 or fewer dwelling units per building),8/3/2012
4.8,Quincy,Massachusetts,02269,Residential (3 or fewer dwelling units per building),7/31/2013
3.29,Boston,Massachusetts,02136,Commercial / Office,7/25/2012
5.76,Abington,Massachusetts,02351,See Power Clerk,NULL
